Datetime,Open,High,Low,Close,Adj Close,Volume,Datetime_UTC,measurement,tag
2021-05-03 18:00:00-04:00,13785.0,13792.5,13778.25,13785.5,13785.5,0,2021-05-03 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 19:00:00-04:00,13785.0,13786.75,13762.0,13769.5,13769.5,3193,2021-05-03 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 20:00:00-04:00,13769.25,13777.5,13750.0,13754.25,13754.25,4321,2021-05-04 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 21:00:00-04:00,13754.5,13754.5,13723.0,13733.25,13733.25,5953,2021-05-04 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 22:00:00-04:00,13732.75,13744.0,13729.25,13743.5,13743.5,2548,2021-05-04 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 23:00:00-04:00,13743.25,13745.25,13731.75,13740.5,13740.5,1959,2021-05-04 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 00:00:00-04:00,13741.0,13743.0,13736.25,13742.5,13742.5,1198,2021-05-04 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 01:00:00-04:00,13742.25,13764.0,13739.5,13759.5,13759.5,2525,2021-05-04 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 02:00:00-04:00,13759.25,13771.0,13756.25,13765.75,13765.75,2822,2021-05-04 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 03:00:00-04:00,13766.0,13777.5,13726.0,13743.0,13743.0,8964,2021-05-04 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 04:00:00-04:00,13743.0,13766.25,13725.5,13737.5,13737.5,7382,2021-05-04 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 05:00:00-04:00,13736.0,13757.25,13730.0,13753.25,13753.25,4125,2021-05-04 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 06:00:00-04:00,13753.25,13763.0,13732.25,13744.0,13744.0,5001,2021-05-04 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 07:00:00-04:00,13743.75,13753.0,13650.25,13688.75,13688.75,21810,2021-05-04 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 08:00:00-04:00,13688.0,13692.75,13654.75,13682.0,13682.0,18982,2021-05-04 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 09:00:00-04:00,13682.0,13696.5,13535.25,13543.0,13543.0,104997,2021-05-04 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 10:00:00-04:00,13543.25,13552.5,13471.0,13478.5,13478.5,116021,2021-05-04 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 11:00:00-04:00,13478.25,13497.25,13380.75,13402.25,13402.25,100505,2021-05-04 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 12:00:00-04:00,13401.75,13451.0,13394.25,13410.5,13410.5,51905,2021-05-04 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 13:00:00-04:00,13410.5,13462.75,13405.25,13435.25,13435.25,50026,2021-05-04 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 14:00:00-04:00,13435.5,13491.0,13422.5,13479.0,13479.0,53121,2021-05-04 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 15:00:00-04:00,13478.75,13543.75,13453.25,13543.0,13543.0,73377,2021-05-04 19:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 16:00:00-04:00,13543.25,13552.75,13514.75,13521.75,13521.75,13409,2021-05-04 20:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 18:00:00-04:00,13525.75,13529.75,13507.75,13520.75,13520.75,0,2021-05-04 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 19:00:00-04:00,13521.0,13527.75,13511.5,13525.25,13525.25,1881,2021-05-04 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 20:00:00-04:00,13525.25,13561.25,13523.0,13557.0,13557.0,5545,2021-05-05 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 21:00:00-04:00,13557.0,13577.75,13545.0,13570.5,13570.5,4458,2021-05-05 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 22:00:00-04:00,13570.5,13582.25,13567.75,13578.75,13578.75,3103,2021-05-05 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-04 23:00:00-04:00,13579.25,13583.75,13571.0,13573.25,13573.25,2018,2021-05-05 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 00:00:00-04:00,13574.25,13577.75,13567.75,13574.75,13574.75,1243,2021-05-05 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 01:00:00-04:00,13574.5,13574.75,13527.25,13559.0,13559.0,6499,2021-05-05 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 02:00:00-04:00,13559.25,13566.5,13531.5,13541.75,13541.75,6642,2021-05-05 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 03:00:00-04:00,13542.25,13580.0,13539.0,13568.25,13568.25,7397,2021-05-05 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 04:00:00-04:00,13568.5,13605.0,13568.5,13591.5,13591.5,7635,2021-05-05 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 05:00:00-04:00,13591.25,13612.25,13590.0,13599.25,13599.25,5068,2021-05-05 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 06:00:00-04:00,13599.75,13624.0,13598.25,13616.75,13616.75,5141,2021-05-05 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-05 07:00:00-04:00,13616.5,13630.75,13597.75,13618.5,13618.5,7957,2021-05-05 11:00:00,commodity_data_try2,Nasdaq_Futures
